academic_year,tcas_round_code,tcas_round_name,project_id,fac_id,fac_name,major_id,major_name,major_type,application_choices,unique_applicants,confirmed_unique_applicants,applicant_status_1_rows,applicant_status_2_rows,applicant_status_3_rows,avg_score,min_score,max_score,avg_priority,min_priority,max_priority,applicant_rows,excluded_second_processing_rows,selected_in_better_choice_rows,confirmed_rows,surrendered_rows,rejected_rows,no_action_rows,not_used_rows
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล,ภาคปกติ,358,358,25,67,26,265,35.6015,21.6444,53.9221,5.067,1,10,67,0,153,25,0,112,0,1
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล (ภาคพิเศษ),ภาคพิเศษ,226,226,22,28,25,173,31.1507,20.9554,43.1776,5.3496,1,10,28,0,80,22,3,93,0,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,379,379,20,56,20,303,49.224,27.466,67.7886,4.496,1,10,56,0,143,20,0,160,0,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E24,วิศวกรรมอุตสาหการ-โลจิสติกส์,ภาคปกติ,261,261,20,32,23,206,35.7684,23.4124,56.6263,5.0881,1,10,32,0,119,20,3,87,0,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E29,วิศวกรรมคอมพิวเตอร์,ภาคปกติ,384,384,28,76,30,278,40.7674,15.461,67.894,4.6172,1,10,76,0,137,28,2,141,0,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E36,วิศวกรรมอาหาร,ภาคปกติ,204,204,23,22,28,154,34.5253,23.3996,48.1554,5.3578,1,10,22,1,96,23,3,58,1,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E37,วิศวกรรมเครื่องกล-เกษตร,ภาคปกติ,306,306,23,32,28,246,46.0421,25.311,64.2276,5.4673,1,10,32,0,149,23,4,97,1,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,308,308,19,52,20,236,35.6516,22.5164,63.3832,4.7987,1,10,52,0,116,19,0,120,1,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,211,211,22,26,26,159,33.0021,24.2832,42.3246,5.0569,1,10,26,0,67,22,2,92,1,1
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,74,74,12,9,17,48,43.2799,25.6494,61.7886,5.2838,1,10,9,0,37,12,5,11,0,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล,ภาคปกติ,357,357,34,0,35,322,35.5185,20.2528,46.8663,5.4118,1,10,0,0,184,34,1,138,0,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล (ภาคพิเศษ),ภาคพิเศษ,214,214,25,0,31,183,33.1081,21.1835,45.5809,5.7056,1,10,0,1,108,25,5,75,0,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,243,243,19,0,21,222,47.2472,27.1628,65.0688,4.2634,1,10,0,0,110,19,1,112,0,1
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E24,วิศวกรรมอุตสาหการ-โลจิสติกส์,ภาคปกติ,400,400,22,0,27,373,35.9961,23.1392,65.5468,5.2675,1,10,0,0,205,22,3,168,1,1
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E29,วิศวกรรมคอมพิวเตอร์,ภาคปกติ,333,333,48,0,53,280,40.0213,20.5046,76.0864,4.6306,1,10,0,0,173,48,3,107,0,2
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E36,วิศวกรรมอาหาร,ภาคปกติ,174,174,31,0,33,141,33.6946,24.3254,56.8664,5.8161,1,10,0,0,111,31,1,30,1,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E37,วิศวกรรมเครื่องกล-เกษตร,ภาคปกติ,65,65,28,0,29,36,30.2993,20.6365,40.0817,4.8769,1,10,0,0,25,28,1,11,0,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,331,331,37,0,40,291,35.7908,21.9627,50.1756,4.9335,1,10,0,0,147,37,3,144,0,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,219,219,22,0,30,189,34.1846,21.7357,45.0602,5.4018,1,10,0,0,104,22,7,85,1,0
2569,TCAS3,Admission,C2800,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,43,43,17,0,19,24,30.836,21.9832,42.356,4.7907,1,10,0,0,24,17,1,0,0,1
